Round ,Team,Total Kicks,Handballs,Disposals,Marks,Hit-outs,Frees For,Frees Against,Goals,Behinds,Total Points,AFL Fantasy,Opponent,Win/Loss,
11,Essendon,177,140,317,74,24,16,12,11,7,73,1284,Gold Coast Suns,1,
11,Fremantle,204,176,380,84,31,15,14,7,6,48,1491,Hawthorn,1,
11,Geelong Cats,197,126,323,100,30,14,13,14,9,93,1480,St Kilda,1,
11,Gold Coast Suns,165,82,247,64,32,12,16,11,7,73,1087,Essendon,1,
11,Hawthorn,161,123,284,64,25,14,15,4,8,32,1108,Fremantle,0,
11,Melbourne,194,148,342,82,7,13,19,13,14,92,1355,North Melbourne,1,
11,North Melbourne,177,167,344,69,29,19,13,5,5,35,1322,Melbourne,0,
11,Port Adelaide,170,151,321,50,31,22,11,13,15,93,1348,Richmond,1,
11,Richmond,140,101,241,47,36,11,22,11,6,72,1085,Port Adelaide,0,
11,St Kilda,151,116,267,51,28,13,14,4,10,34,1016,Geelong Cats,0,
11,West Coast Eagles,182,105,287,77,49,14,12,11,6,72,1310,Carlton,1,
11,Western Bulldogs,159,150,309,64,23,12,9,11,6,72,1235,Brisbane Lions,0,
